date,player,market,line,pick,projection,actual,margin,result,flags,p_model,p_market,decimal_odds,stake_pct,realized_profit
2026-04-18,Dennis Schroder,AST,1.5,OVER,4.1,2.0,,HIT,NO-PO 2-BOOK,0.841,,,,
2026-04-18,Luke Kennard,3PM,2.5,UNDER,1.1,5.0,,MISS,NO-PO DvP-0.78,0.839,,,,
2026-04-18,Collin Murray-Boyles,PTS+REB,11.5,OVER,16.7,18.0,,HIT,NO-PO DvP-0.78,0.831,,,,
2026-04-18,Anthony Edwards,REB,5.5,UNDER,2.9,9.0,,MISS,NO-PO DvP-0.78,0.83,,,,
2026-04-18,Bruce Brown,PTS,5.5,OVER,9.1,8.0,,HIT,NO-PO DvP-0.78,0.826,,,,
2026-04-18,Sam Merrill,AST,1.5,OVER,2.7,2.0,,HIT,NO-PO DvP-0.78,0.819,,,,
2026-04-18,Jabari Smith Jr,3PM,1.5,OVER,2.7,3.0,,HIT,NO-PO,0.812,,,,
2026-04-18,Marcus Smart,PTS,11.5,UNDER,6.3,15.0,,MISS,NO-PO DvP-0.78,0.792,,,,
2026-04-18,LeBron James,PTS,25.5,UNDER,19.9,19.0,,HIT,NO-PO DvP-0.78,0.787,,,,
2026-04-18,Collin Murray-Boyles,PTS,7.5,OVER,11.3,14.0,,HIT,NO-PO DvP-0.78,0.778,,,,
2026-04-18,Donte DiVincenzo,AST,3.5,UNDER,2.0,2.0,,HIT,NO-PO DvP-0.78,0.775,,,,
2026-04-18,Nickeil Alexander-Walker,PTS,20.5,OVER,25.4,17.0,,MISS,NO-PO,0.768,,,,
2026-04-18,Ayo Dosunmu,PTS+AST,14.5,OVER,18.9,15.0,,HIT,NO-PO DvP-0.78,0.753,,,,
2026-04-18,Josh Hart,AST,4.5,UNDER,3.2,5.0,,MISS,NO-PO DvP-0.78 BLW-0m,0.744,,,,
2026-04-18,Jakob Poeltl,REB,7.5,UNDER,4.3,6.0,,HIT,NO-PO DvP-0.85,0.741,,,,
2026-04-18,Jake LaRavia,PTS,8.5,UNDER,4.5,6.0,,HIT,NO-PO DvP-0.78,0.737,,,,
2026-04-18,Jamal Shead,3PM,1.5,UNDER,0.8,5.0,,MISS,NO-PO DvP-0.78,0.733,,,,
2026-04-18,Dyson Daniels,REB,6.5,OVER,8.4,9.0,,HIT,NO-PO,0.731,,,,
2026-04-18,Ja'Kobe Walter,3PM,1.5,OVER,2.5,1.0,,MISS,NO-PO DvP-0.78,0.726,,,,
2026-04-18,Sandro Mamukelashvili,REB+AST,5.5,OVER,6.9,10.0,,HIT,NO-PO DvP-0.78,0.725,,,,
2026-04-18,Jaxson Hayes,PTS,6.5,OVER,9.9,4.0,,MISS,NO-PO DvP-0.78 LO-USG,0.72,,,,
2026-04-18,Amen Thompson,3PM,0.5,UNDER,0.1,0.0,,HIT,NO-PO DvP-0.78,0.716,,,,
2026-04-18,James Harden,REB+AST,12.5,UNDER,9.2,12.0,,HIT,NO-PO DvP-0.78,0.713,,,,
2026-04-18,Jarred Vanderbilt,REB,3.5,OVER,4.9,5.0,,HIT,⚠BENCH NO-PO DvP-0.78,0.709,,,,
2026-04-18,Scottie Barnes,PTS,17.5,UNDER,13.8,21.0,,MISS,NO-PO DvP-0.78,0.698,,,,
